Sale Date,ISBN,Discount,ItemID,OrderID
7/1/2193,989-28-79-36485-4,,107200-4-411,107200-18752
7/1/2193,989-28-79-91028-0,,107200-28-9934,107200-18753
7/1/2193,989-28-79-13801-1,,107200-38-8451,107200-18754
7/1/2193,989-28-79-71565-6,,107200-4-3737,107200-18755
7/1/2193,989-28-79-13801-1,,107200-87-8200,107200-18756
7/1/2193,989-28-79-23023-4,0.13,107200-42-5445,107200-18757
7/1/2193,989-28-79-40897-8,,107200-61-3357,107200-18758
7/1/2193,989-28-79-68089-3,0.05,107200-37-2718,107200-18759
7/1/2193,989-28-79-23023-4,,107200-57-7762,107200-18760
7/1/2193,989-28-79-74374-1,,107200-36-5259,107200-18761
7/1/2193,989-28-79-26824-4,,107200-28-9276,107200-18762
7/1/2193,989-28-79-74374-1,,107200-74-5436,107200-18763
7/1/2193,989-28-79-68089-3,0.05,107200-26-1051,107200-18764
7/1/2193,989-28-79-26824-4,,107200-85-6741,107200-18765
7/1/2193,989-28-79-26824-4,,107200-3-2093,107200-18766
7/1/2193,989-28-79-91028-0,,107200-6-611,107200-18767
7/1/2193,989-28-79-23023-4,,107200-69-5008,107200-18768
7/1/2193,989-28-79-68089-3,0.05,107200-72-9557,107200-18769
7/1/2193,989-28-79-26824-4,,107200-13-1593,107200-18770
7/1/2193,989-28-79-23023-4,,107200-68-6894,107200-18771
7/1/2193,989-28-79-74374-1,,107200-18-8416,107200-18772
7/1/2193,989-28-79-43574-5,,107200-81-1327,107200-18773
7/1/2193,989-28-79-13801-1,,107200-5-2948,107200-18774
7/1/2193,989-28-79-74374-1,,107200-21-170,107200-18775
7/1/2193,989-28-79-74374-1,,107200-57-6159,107200-18777
7/1/2193,989-28-79-23023-4,,107200-24-6450,107200-18778
7/1/2193,989-28-79-26824-4,,107200-6-2583,107200-18779
7/1/2193,989-28-79-36485-4,,107200-44-1587,107200-18780
7/1/2193,989-28-79-13801-1,,107200-55-7797,107200-18781
7/1/2193,989-28-79-40897-8,,107200-80-1480,107200-18782
7/1/2193,989-28-79-71565-6,,107200-58-3346,107200-18783
7/1/2193,989-28-79-26824-4,,107200-77-5808,107200-18784
7/1/2193,989-28-79-68089-3,0.05,107200-8-5828,107200-18785
7/1/2193,989-28-79-91028-0,,107200-34-4806,107200-18786
7/1/2193,989-28-79-40897-8,,107200-26-5748,107200-18787
7/1/2193,989-28-79-51397-9,,107200-38-4473,107200-18788
7/1/2193,989-28-79-13801-1,,107200-26-2755,107200-18789
7/1/2193,989-28-79-91028-0,,107200-1-8147,107200-18790
7/1/2193,989-28-79-13801-1,,107200-17-8751,107200-18791
7/1/2193,989-28-79-55752-2,,107200-1-8712,107200-18792
7/1/2193,989-28-79-68089-3,0.15,107200-1-3299,107200-18793
7/1/2193,989-28-79-13801-1,,107200-50-8605,107200-18794
7/1/2193,989-28-79-91028-0,,107200-54-2416,107200-18795
7/1/2193,989-28-79-13801-1,,107200-82-2969,107200-18796
7/1/2193,989-28-79-91028-0,,107200-37-8685,107200-18797
7/1/2193,989-28-79-74374-1,,107200-12-1711,107200-18798
7/1/2193,989-28-79-13801-1,,107200-30-5412,107200-18799
7/1/2193,989-28-3705-222-9,,107200-50-2217,107200-18800
7/1/2193,989-28-3705-492-6,,107200-47-3656,107200-18801
7/1/2193,989-28-3705-222-9,,107200-62-8333,107200-18802
7/1/2193,989-28-3705-492-6,,107200-13-6148,107200-18803
7/1/2193,989-28-79-03683-6,,107200-1-8450,107200-18804
7/1/2193,989-28-79-03683-6,,107200-80-7944,107200-18805
7/1/2193,989-28-3705-492-6,,107200-79-6418,107200-18806
7/1/2193,989-28-3705-492-6,,107200-40-5982,107200-18807
7/1/2193,989-28-3705-492-6,,107200-56-2678,107200-18808
7/1/2193,989-28-3705-492-6,,107200-34-4557,107200-18809
7/1/2193,989-28-79-03683-6,,107200-51-524,107200-18810
7/1/2193,989-28-3705-492-6,,107200-20-4674,107200-18811
7/1/2193,989-28-3705-222-9,,107200-30-9270,107200-18812
7/1/2193,989-28-3705-222-9,,107200-87-3885,107200-18813
7/1/2193,989-28-3705-222-9,,107200-74-3946,107200-18814
7/1/2193,989-28-3705-007-2,,107200-60-314,107200-18815
7/1/2193,989-28-3705-649-4,,107200-74-2483,107200-18815
7/1/2193,989-28-3705-007-2,,107200-71-1215,107200-18816
7/1/2193,989-28-3705-649-4,,107200-76-346,107200-18816
7/1/2193,989-28-3705-007-2,,107200-18-2745,107200-18817
7/1/2193,989-28-3705-138-3,,107200-40-891,107200-18817
7/1/2193,989-28-3705-007-2,,107200-39-2646,107200-18818
7/1/2193,989-28-3705-987-7,,107200-48-6312,107200-18818
7/1/2193,989-28-79-11297-4,,107200-43-1779,107200-18819
7/1/2193,989-28-79-21991-8,,107200-98-9125,107200-18819
7/1/2193,989-28-79-13871-4,,107200-18-6528,107200-18820
7/1/2193,989-28-79-05670-4,,107200-6-8230,107200-18820
7/1/2193,989-28-79-82749-6,,107200-20-7583,107200-18821
7/1/2193,989-28-79-13871-4,,107200-44-2382,107200-18821
7/1/2193,989-28-79-69807-2,,107200-35-6892,107200-18822
7/1/2193,989-28-79-13871-4,,107200-44-2381,107200-18822
7/1/2193,989-28-229-9769-6,,107200-17-3157,107200-18823
7/1/2193,989-28-79-05670-4,,107200-59-4554,107200-18823
7/1/2193,989-28-229-9769-6,,107200-73-2876,107200-18824
7/1/2193,989-28-229-9769-6,,107200-77-2883,107200-18824
7/1/2193,989-28-229-9769-6,,107200-1-840,107200-18825
7/1/2193,989-28-79-91028-0,,107200-20-1452,107200-18825
7/1/2193,989-28-79-74374-1,,107200-21-7438,107200-18826
7/1/2193,989-28-79-13801-1,,107200-5-6975,107200-18826
7/1/2193,989-28-79-68089-3,0.05,107200-73-7380,107200-18827
7/1/2193,989-28-79-13801-1,,107200-33-7171,107200-18827
7/1/2193,989-28-79-23023-4,,107200-21-3347,107200-18828
7/1/2193,989-28-79-91028-0,,107200-37-3604,107200-18828
7/1/2193,989-28-79-13801-1,,107200-53-9185,107200-18829
7/1/2193,989-28-79-74374-1,,107200-76-7161,107200-18829
7/1/2193,989-28-79-13801-1,,107200-64-9459,107200-18830
7/1/2193,989-28-79-74374-1,,107200-88-2239,107200-18830
7/1/2193,989-28-3705-222-9,,107200-48-4250,107200-18831
7/1/2193,989-28-3705-492-6,,107200-90-6459,107200-18831
7/1/2193,989-28-3705-492-6,,107200-17-5813,107200-18832
7/1/2193,989-28-3705-492-6,,107200-52-1483,107200-18832
7/1/2193,989-28-3705-007-2,,107200-46-5006,107200-18833
7/1/2193,989-28-3705-369-1,,107200-8-7220,107200-18833
7/1/2193,989-28-79-03683-6,,107200-95-1083,107200-18833
7/1/2193,989-28-79-69807-2,,107200-41-1337,107200-18834
7/1/2193,989-28-79-82125-8,,107200-87-9587,107200-18834
7/1/2193,989-28-79-05670-4,,107200-89-9600,107200-18834
7/1/2193,989-28-229-1404-4,,107200-62-629,107200-18835
7/1/2193,989-28-654-6033-1,,107200-75-820,107200-18835
7/1/2193,989-28-79-69807-2,,107200-92-959,107200-18835
7/1/2193,989-28-229-5891-8,0.1,107200-23-3302,107200-18836
7/1/2193,989-28-229-5891-8,0.1,107200-23-3652,107200-18836
7/1/2193,989-28-79-26824-4,,107200-51-8208,107200-18836
7/1/2193,989-28-79-13801-1,,107200-44-7413,107200-18837
7/1/2193,989-28-79-91028-0,,107200-5-5610,107200-18837
7/1/2193,989-28-79-51397-9,,107200-58-2426,107200-18837
7/1/2193,989-28-79-91028-0,,107200-21-1504,107200-18838
7/1/2193,989-28-79-05670-4,,107200-34-473,107200-18838
7/1/2193,989-28-229-9769-6,,107200-34-5854,107200-18838
7/1/2193,989-28-79-13871-4,,107200-63-6400,107200-18838
7/1/2193,989-28-79-74374-1,,107200-70-2989,107200-18838
7/2/2193,989-28-3705-007-2,,107201-8-6746,107201-18839
7/2/2193,989-28-3705-007-2,,107201-39-7164,107201-18840
7/2/2193,989-28-3705-369-1,,107201-32-5106,107201-18841
7/2/2193,989-28-3705-007-2,,107201-19-264,107201-18842
7/2/2193,989-28-3705-007-2,,107201-41-1812,107201-18843
7/2/2193,989-28-3705-138-3,,107201-52-7474,107201-18844
7/2/2193,989-28-3705-007-2,,107201-86-7931,107201-18845
7/2/2193,989-28-3705-007-2,,107201-22-7946,107201-18846
7/2/2193,989-28-3705-987-7,,107201-1-6733,107201-18847
7/2/2193,989-28-3705-007-2,,107201-60-9774,107201-18848
7/2/2193,989-28-3705-592-3,,107201-22-8621,107201-18849
7/2/2193,989-28-3705-649-4,,107201-88-7046,107201-18850
7/2/2193,989-28-3705-987-7,,107201-79-1284,107201-18851
7/2/2193,989-28-3705-007-2,,107201-43-1378,107201-18852
7/2/2193,989-28-3705-987-7,0.13,107201-42-2220,107201-18853
7/2/2193,989-28-3705-007-2,,107201-85-2028,107201-18854
7/2/2193,989-28-3705-152-9,,107201-46-9132,107201-18855
7/2/2193,989-28-3705-007-2,,107201-89-3083,107201-18856
7/2/2193,989-28-3705-987-7,,107201-58-2419,107201-18857
7/2/2193,989-28-3705-007-2,,107201-50-6709,107201-18858
7/2/2193,989-28-3705-592-3,,107201-1-379,107201-18859
7/2/2193,989-28-3705-987-7,,107201-73-6684,107201-18860
7/2/2193,989-28-79-45675-7,,107201-2-9241,107201-18861
7/2/2193,989-28-79-42728-3,,107201-18-1184,107201-18862
7/2/2193,989-28-79-82197-5,,107201-11-3543,107201-18863
7/2/2193,989-28-79-11297-4,,107201-20-4095,107201-18864
7/2/2193,989-28-79-61125-5,,107201-44-4411,107201-18865
7/2/2193,989-28-79-67891-3,,107201-9-6961,107201-18866
7/2/2193,989-28-79-32105-5,,107201-95-4467,107201-18867
7/2/2193,989-28-79-01991-4,,107201-71-9111,107201-18868
7/2/2193,989-28-79-18127-7,,107201-66-5417,107201-18869
7/2/2193,989-28-79-07610-8,,107201-51-2927,107201-18870
7/2/2193,989-28-79-70597-8,,107201-86-167,107201-18871
7/2/2193,989-28-79-16826-1,,107201-57-788,107201-18872
7/2/2193,989-28-79-45675-7,,107201-87-667,107201-18873
7/2/2193,989-28-79-45675-7,,107201-75-4864,107201-18874
7/2/2193,989-28-79-45675-7,,107201-35-3474,107201-18875
7/2/2193,989-28-79-82197-5,,107201-25-9359,107201-18876
7/2/2193,989-28-79-27078-0,,107201-9-3510,107201-18877
7/2/2193,989-28-79-16826-1,,107201-32-2372,107201-18878
7/2/2193,989-28-79-30536-9,,107201-62-4950,107201-18879
7/2/2193,989-28-79-61125-5,,107201-78-5406,107201-18880
7/2/2193,989-28-79-86624-2,,107201-99-5392,107201-18881
7/2/2193,989-28-79-07610-8,,107201-40-1976,107201-18882
7/2/2193,989-28-79-45675-7,,107201-61-3197,107201-18883
7/2/2193,989-28-79-11297-4,,107201-31-3860,107201-18884
7/2/2193,989-28-654-5018-9,,107201-2-3172,107201-18885
7/2/2193,989-28-79-05670-4,,107201-35-3957,107201-18886
7/2/2193,989-28-79-82749-6,,107201-19-1399,107201-18887
7/2/2193,989-28-79-82749-6,,107201-19-1398,107201-18888
7/2/2193,989-28-79-13871-4,,107201-72-9378,107201-18889
7/2/2193,989-28-79-69807-2,,107201-89-2648,107201-18890
7/2/2193,989-28-79-13871-4,,107201-15-1070,107201-18891
7/2/2193,989-28-79-82749-6,,107201-84-8420,107201-18892
7/2/2193,989-28-79-13871-4,,107201-15-1069,107201-18893
7/2/2193,989-28-79-69807-2,,107201-89-2647,107201-18894
7/2/2193,989-28-79-82749-6,,107201-84-8419,107201-18895
7/2/2193,989-28-79-82125-8,,107201-47-9645,107201-18896
7/2/2193,989-28-79-13871-4,,107201-87-8813,107201-18897
7/2/2193,989-28-79-05670-4,,107201-20-8646,107201-18898
7/2/2193,989-28-79-13871-4,,107201-72-9377,107201-18899
7/2/2193,989-28-79-13871-4,,107201-80-5841,107201-18900
7/2/2193,989-28-79-05670-4,,107201-88-4610,107201-18901
7/2/2193,989-28-79-13871-4,,107201-87-8812,107201-18902
7/2/2193,989-28-79-82125-8,,107201-23-4096,107201-18903
7/2/2193,989-28-79-05670-4,,107201-17-7973,107201-18904
7/2/2193,989-28-79-69807-2,,107201-28-4027,107201-18905
7/2/2193,989-28-79-69807-2,0.13,107201-42-5518,107201-18906
7/2/2193,989-28-79-69807-2,,107201-94-9235,107201-18907
7/2/2193,989-28-79-69807-2,,107201-28-4026,107201-18908
7/2/2193,989-28-79-13871-4,,107201-36-7553,107201-18909
7/2/2193,989-28-79-13871-4,,107201-80-5840,107201-18910
7/2/2193,989-28-79-69807-2,,107201-94-9234,107201-18911
7/2/2193,989-28-79-82125-8,,107201-94-7743,107201-18912
7/2/2193,989-28-79-13871-4,,107201-96-8141,107201-18913
7/2/2193,989-28-79-05670-4,,107201-39-7828,107201-18914
7/2/2193,989-28-79-22562-9,,107201-81-8618,107201-18915
7/2/2193,989-28-79-13871-4,,107201-96-8140,107201-18916
7/2/2193,989-28-79-13871-4,,107201-36-7552,107201-18917
7/2/2193,989-28-79-69807-2,0.13,107201-42-5517,107201-18918
7/2/2193,989-28-79-05670-4,,107201-84-6855,107201-18919
7/2/2193,989-28-654-0047-4,,107201-8-9079,107201-18920
7/2/2193,989-28-654-5771-3,,107201-18-9912,107201-18921
7/2/2193,989-28-654-5771-3,,107201-18-9911,107201-18922
7/2/2193,989-28-654-5771-3,,107201-18-9910,107201-18923
7/2/2193,989-28-229-1404-4,,107201-36-515,107201-18924
7/2/2193,989-28-229-1404-4,,107201-31-5116,107201-18925
7/2/2193,989-28-229-1404-4,,107201-89-5048,107201-18926
7/2/2193,989-28-229-6632-6,,107201-18-6287,107201-18927
7/2/2193,989-28-229-6632-6,,107201-33-8799,107201-18928
7/2/2193,989-28-229-7592-2,,107201-58-9165,107201-18929
7/2/2193,989-28-229-9769-6,,107201-99-8094,107201-18930
7/2/2193,989-28-229-1404-4,,107201-71-2986,107201-18931
7/2/2193,989-28-229-6632-6,,107201-74-1003,107201-18932
7/2/2193,989-28-229-5891-8,0.1,107201-7-5632,107201-18933
7/2/2193,989-28-229-1404-4,,107201-94-4185,107201-18934
7/2/2193,989-28-229-7592-2,,107201-90-2353,107201-18935
7/2/2193,989-28-229-6632-6,,107201-40-723,107201-18936
7/2/2193,989-28-229-6632-6,,107201-55-41,107201-18937
7/2/2193,989-28-229-9769-6,,107201-87-1121,107201-18938
7/2/2193,989-28-229-3157-7,,107201-39-5310,107201-18939
7/2/2193,989-28-229-0197-6,,107201-21-1437,107201-18940
7/2/2193,989-28-229-5891-8,0.1,107201-21-8810,107201-18941
7/2/2193,989-28-229-6632-6,,107201-72-5919,107201-18942
7/2/2193,989-28-229-7592-2,,107201-84-2278,107201-18943
7/2/2193,989-28-79-74374-1,,107201-10-9524,107201-18944
7/2/2193,989-28-79-74374-1,,107201-9-5954,107201-18947
7/2/2193,989-28-79-26824-4,,107201-17-3573,107201-18948
7/2/2193,989-28-79-68089-3,0.05,107201-34-6591,107201-18949
7/2/2193,989-28-79-51397-9,,107201-91-419,107201-18950
7/2/2193,989-28-79-74374-1,,107201-13-6435,107201-18951
7/2/2193,989-28-79-91028-0,,107201-26-1252,107201-18952
7/2/2193,989-28-79-74374-1,,107201-59-6065,107201-18953
7/2/2193,989-28-79-13801-1,,107201-8-1410,107201-18954
7/2/2193,989-28-79-13801-1,,107201-29-653,107201-18955
7/2/2193,989-28-79-91028-0,,107201-22-8960,107201-18956
7/2/2193,989-28-79-36485-4,,107201-2-3424,107201-18957
7/2/2193,989-28-79-74374-1,,107201-68-7134,107201-18958
7/2/2193,989-28-79-68089-3,0.05,107201-71-4542,107201-18959
7/2/2193,989-28-79-74374-1,,107201-75-6915,107201-18960
7/2/2193,989-28-79-71565-6,,107201-96-1960,107201-18961
7/2/2193,989-28-79-13801-1,,107201-89-8400,107201-18962
7/2/2193,989-28-79-68089-3,0.15,107201-1-8246,107201-18963
7/2/2193,989-28-79-40897-8,,107201-89-6997,107201-18964
7/2/2193,989-28-79-71565-6,,107201-47-4496,107201-18965
7/2/2193,989-28-79-51397-9,,107201-77-3680,107201-18966
7/2/2193,989-28-79-55752-2,,107201-93-7981,107201-18967
7/2/2193,989-28-79-74374-1,,107201-45-6221,107201-18968
7/2/2193,989-28-79-23023-4,,107201-96-8839,107201-18969
7/2/2193,989-28-79-74374-1,,107201-26-1690,107201-18970
7/2/2193,989-28-79-55824-6,,107201-29-146,107201-18971
7/2/2193,989-28-79-13801-1,,107201-80-6087,107201-18972
7/2/2193,989-28-79-13801-1,,107201-89-4378,107201-18973
7/2/2193,989-28-79-74374-1,,107201-46-5266,107201-18974
7/2/2193,989-28-79-91028-0,,107201-64-1993,107201-18975
7/2/2193,989-28-79-68089-3,0.05,107201-10-4427,107201-18976
7/2/2193,989-28-79-44730-4,,107201-29-5859,107201-18977
7/2/2193,989-28-79-13801-1,,107201-73-2672,107201-18978
7/2/2193,989-28-79-69359-6,,107201-22-9785,107201-18979
7/2/2193,989-28-79-26824-4,,107201-31-7016,107201-18980
7/2/2193,989-28-79-23023-4,,107201-65-7240,107201-18981
7/2/2193,989-28-79-55752-2,,107201-86-7549,107201-18982
7/2/2193,989-28-79-13801-1,,107201-78-8197,107201-18983
7/2/2193,989-28-79-23023-4,,107201-98-790,107201-18984
7/2/2193,989-28-79-40897-8,,107201-99-8099,107201-18985
7/2/2193,989-28-79-74374-1,,107201-60-3312,107201-18987
7/2/2193,989-28-79-74374-1,,107201-89-8888,107201-18988
7/2/2193,989-28-79-71565-6,,107201-48-4486,107201-18989
7/2/2193,989-28-79-13801-1,,107201-10-3313,107201-18990
7/2/2193,989-28-79-26824-4,,107201-73-5965,107201-18991
7/2/2193,989-28-79-68089-3,0.05,107201-10-6497,107201-18992
7/2/2193,989-28-79-91028-0,,107201-24-3048,107201-18993
7/2/2193,989-28-79-13801-1,,107201-78-5356,107201-18994
7/2/2193,989-28-79-74374-1,,107201-7-1533,107201-18995
7/2/2193,989-28-79-82339-9,,107201-19-4661,107201-18996
7/2/2193,989-28-79-71565-6,,107201-4-6337,107201-18997
7/2/2193,989-28-79-13801-1,,107201-84-5566,107201-18998
7/2/2193,989-28-79-23023-4,,107201-25-4409,107201-18999
7/2/2193,989-28-79-13801-1,,107201-69-6234,107201-19000
7/2/2193,989-28-79-91028-0,,107201-79-6697,107201-19001
7/2/2193,989-28-79-13801-1,,107201-44-3514,107201-19002
7/2/2193,989-28-79-74374-1,,107201-58-6374,107201-19003
7/2/2193,989-28-79-40897-8,,107201-33-7973,107201-19004
7/2/2193,989-28-79-71565-6,,107201-25-5447,107201-19005
7/2/2193,989-28-79-55752-2,,107201-51-8529,107201-19006
7/2/2193,989-28-79-40897-8,,107201-53-6530,107201-19007
7/2/2193,989-28-3705-222-9,,107201-99-3186,107201-19008
7/2/2193,989-28-3705-492-6,,107201-82-2006,107201-19009
7/2/2193,989-28-79-03683-6,,107201-82-4705,107201-19010
7/2/2193,989-28-3705-222-9,,107201-85-623,107201-19011
7/2/2193,989-28-3705-222-9,,107201-51-21,107201-19012
7/2/2193,989-28-79-03683-6,,107201-68-210,107201-19013
7/2/2193,989-28-3705-222-9,,107201-65-6664,107201-19014
7/2/2193,989-28-3705-222-9,,107201-90-3183,107201-19015
7/2/2193,989-28-3705-222-9,,107201-40-7482,107201-19016
7/2/2193,989-28-3705-492-6,,107201-63-3075,107201-19017
